Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Web Services,,,2018-12-18 12:15:24,2018-12-18 12:15:31,"6,881s",PASSED
,,,,,,
Test Cases/listUserTest/listUser,,,2018-12-18 12:15:25,2018-12-18 12:15:31,"5,314s",PASSED
sendRequest,,,2018-12-18 12:15:27,2018-12-18 12:15:29,"2,133s",PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequestAndVerify(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(userRestService/listUser)),,,2018-12-18 12:15:29,2018-12-18 12:15:30,"1,454s",PASSED
verifyElementPropertyValue,,,2018-12-18 12:15:30,2018-12-18 12:15:30,"0,061s",PASSED
verifyElementPropertyValue,,,2018-12-18 12:15:30,2018-12-18 12:15:30,"0,050s",PASSED
verifyElementsCount,,,2018-12-18 12:15:30,2018-12-18 12:15:30,"0,132s",PASSED
verifyResponseStatusCodeInRange,,,2018-12-18 12:15:30,2018-12-18 12:15:31,"0,023s",PASSED
