Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Web Services,,,2018-12-19 08:37:07,2018-12-19 08:37:11,"4,204s",PASSED
,,,,,,
Test Cases/listUserTest/listUser,,,2018-12-19 08:37:08,2018-12-19 08:37:11,"3,705s",PASSED
sendRequest,,,2018-12-19 08:37:08,2018-12-19 08:37:10,"1,652s",PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequestAndVerify(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(userRestService/listUser)),,,2018-12-19 08:37:10,2018-12-19 08:37:11,"1,224s",PASSED
verifyElementPropertyValue,,,2018-12-19 08:37:11,2018-12-19 08:37:11,"0,042s",PASSED
verifyElementPropertyValue,,,2018-12-19 08:37:11,2018-12-19 08:37:11,"0,035s",PASSED
verifyElementsCount,,,2018-12-19 08:37:11,2018-12-19 08:37:11,"0,043s",PASSED
verifyResponseStatusCodeInRange,,,2018-12-19 08:37:11,2018-12-19 08:37:11,"0,015s",PASSED
