Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Web Services,,,2018-12-19 08:38:18,2018-12-19 08:38:21,"3,614s",PASSED
,,,,,,
Test Cases/listUserTest/listUser,,,2018-12-19 08:38:18,2018-12-19 08:38:21,"2,812s",PASSED
sendRequest,,,2018-12-19 08:38:19,2018-12-19 08:38:20,"1,183s",PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequestAndVerify(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(userRestService/listUser)),,,2018-12-19 08:38:20,2018-12-19 08:38:21,"0,909s",PASSED
verifyElementPropertyValue,,,2018-12-19 08:38:21,2018-12-19 08:38:21,"0,038s",PASSED
verifyElementPropertyValue,,,2018-12-19 08:38:21,2018-12-19 08:38:21,"0,030s",PASSED
verifyElementsCount,,,2018-12-19 08:38:21,2018-12-19 08:38:21,"0,051s",PASSED
verifyResponseStatusCodeInRange,,,2018-12-19 08:38:21,2018-12-19 08:38:21,"0,020s",PASSED
