Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Web Services,,,2018-12-18 12:12:30,2018-12-18 12:13:58,"1m - 27,599s",PASSED
,,,,,,
Test Cases/listUserTest/listUser,,,2018-12-18 12:12:32,2018-12-18 12:13:58,"1m - 25,212s",PASSED
sendRequest,,,2018-12-18 12:12:34,2018-12-18 12:13:18,"43,874s",PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequestAndVerify(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(userRestService/listUser)),,,2018-12-18 12:13:18,2018-12-18 12:13:58,"39,921s",PASSED
verifyElementPropertyValue,,,2018-12-18 12:13:58,2018-12-18 12:13:58,"0,039s",PASSED
verifyElementPropertyValue,,,2018-12-18 12:13:58,2018-12-18 12:13:58,"0,037s",PASSED
verifyElementsCount,,,2018-12-18 12:13:58,2018-12-18 12:13:58,"0,099s",PASSED
verifyResponseStatusCodeInRange,,,2018-12-18 12:13:58,2018-12-18 12:13:58,"0,020s",PASSED
